Title of resource,Map type,Coordinate system,Date of ground survey used to compile map,Resource created at,Description,Ellipsoid,Copywright,Publisher,Location of hard copy,Start Date,Map scale,MAEASaM ID,Datum,URL,Sheet history,Resource Type,Author,Map title, Location,Subject,Book or journal information,Year of publication,Projection,Book or journal edition,Format,Language,Recorder,Page numbers,Cartographer,Map creation date,Location of digital copy consulted,Volume,Collection publisher,Name of collection ,End Date,Contributors,ISBN/ISSN,Comment,Source,Project name,Map series code,DOI,Resource last modified at,Map publisher,Developed or maintained by,resourceid
A Reappraisal of Stone Age Hunter-gatherer Research in Zimbabwe with a Special Focus on the Later Periods in Eastern Zimbabwe,,,,2024-11-18,,,,Sapes Books,,,,INFO-00000234,,None,,Book section,Bandama F,,,,Zimbabwe Archaeology in the Post-independence Era,2013-01-01,,None,,,,17 - 35,,,,None,,,,,978-0-7974-5634-1,,,,,None,2024-11-18,,,13738596-ea84-437d-9794-33b9985a2001
Late Pleistocene and Holocene Hunter-gatherers of the Matopos: an Archaeological Study of Change and Continuity in Zimbabwe,,,,2024-11-18,None,,,Societas Archaeologica Upsaliensis,,None,,INFO-00000235,,https://ehrafarchaeology.yale.edu/documentid=fx50-005,,Book,Walker Nicholas John,,,None,None,1995-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-11-18,,None,94922596-9317-476f-a2e9-572af3863c55
Symbolic Construction of Communities during the Holocene Later Stone Age in the South-eastern Cape,,,,2024-11-18,None,,,University of the Witwatersrand,,None,,INFO-00000236,,http://hdl.handle.net/10539/20828,,Unpublished PhD thesis,Binneman Johannes Nicolaas Francois,,,None,None,1995-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2024-11-18,,None,8993285f-7e0f-4371-ad19-9832030b9826
Modeling Later Stone Age Societies in Southern Africa,,,,2024-11-18,,,,Blackwell Publishing,,,,INFO-00000237,,None,,Book section,Mitchell Peter,,,,African Archaeology: a Critical Introduction,2005-01-01,,None,,,,150 - 173,,,,None,,,,,1-4051-0155-5,,,,,None,2024-11-18,,,91c792b6-6aa8-46fd-acb0-6c01b8445229
Human Beginnings in South Africa: Uncovering the Secrets of the Stone Age,,,,2024-11-18,None,,,Rowman Altamira,,None,,INFO-00000238,,None,,Book,Deacon H. J. ; Deacon Janette,,,None,None,1999-01-01,,None,None,English,,None,,,,None,None,None,None,None,978-0-7619-9086-4,,None,None,,None,2024-11-18,,None,3d764c5d-15c9-4c02-94af-663165e5fe8d
Chronology and Dynamics of Later Stone Age Herders in the Upper Seacow River Valley South Africa,,,,2024-11-18,,,,None,,,,INFO-00000239,,https://www.sciencedirect.com/science/article/pii/S0140196308003030,,Journal article,Sampson C. G.,,,,Journal of Arid Environments,2010-07-01,,7,,,,842-848,,,,74,,,,,None,,,,,10. 1016/j. jaridenv. 2008. 11. 001,2024-11-18,,,20664502-be7f-4d12-9896-db69e8b88330
Pastoral Origins at the Cape South Africa: Influences and Arguments,,,,2024-11-18,,,Copyright 2008 Council of the Natal Museum: all Rights Reserved,None,,,,INFO-00000240,,https://journals.co.za/doi/abs/10.10520/EJC84801,,Journal article,Smith Andrew B.,,,,Southern African Humanities,2008-01-01,,1,,,,49-60,,,,20,,,,,None,,,,,None,2024-11-18,,,bc3b1665-451e-4f31-af50-5422df8cd0d3
Khoikhoi and Bushman Pottery in the Cape Colony: Ethnohistory and Later Stone Age Ceramics of the South African Interior,,,,2024-11-18,,,,None,,,,INFO-00000241,,https://www.sciencedirect.com/science/article/pii/S0278416597903111,,Journal article,Bollong Charles A. ; Sampson C. Garth ; Smith Andrew B.,,,,Journal of Anthropological Archaeology,1997-09-01,,3,,,,269-299,,,,16,,,,,None,,,,,10. 1006/jaar. 1997. 0311,2024-11-18,,,85efafd9-169c-428b-a731-28247b174ef6
Rippled Ware at Blinklipkop Northern Cape,,,,2024-11-18,,,,None,,,,INFO-00000242,,https://search.informit.org/doi/abs/10.3316/informit.851790203646569,,Journal article,Raymond Couzens ; Sadr Karim,,,,South African Archaeological Bulletin,2010-01-01,,192,,,,196-203,,,,65,,,,,None,,,,,10. 3316/informit. 851790203646569,2024-11-18,,,ecfb5347-89a1-409c-8caf-bc32028ce0a5
A Short History of Early Herding in Southern Africa,,,,2024-11-18,None,,,Berghahn Books,,None,,INFO-00000243,,https://www.degruyter.com/document/doi/10.1515/9780857459091-009/pdflicenseType=restricted,,Book section,Sadr Karim,,,None,Pastoralism in Africa: Past Present and Future,2013-07-01,,None,None,English,,171-198,,,,None,None,None,None,None,978-0-85745-909-1,,None,None,,None,2024-11-18,,None,56e5ee7d-8f37-4291-9359-67afadd6c294
Evidence of Human Migrations from the Rock Art of Southern Rhodesia,,,,2024-11-18,None,,,None,,None,,INFO-00000244,,https://www.cambridge.org/core/journals/africa/article/evidence-of-human-migrations-from-the-rock-art-of-southern-rhodesia/5740C9CE513C2F42C679C9EBA9F245DF,,Journal article,Cooke C. K.,,,None,Africa,1965-07-01,,3,None,English,,263-285,,,,35,None,None,None,None,None,,None,None,,10. 2307/1157174,2024-11-18,,None,590867a1-2ad5-431a-8aef-0478008e0f76
The Significance of an Early Date for Pottery and Sheep in Zimbabwe,,,,2024-11-18,,,,None,,,,INFO-00000245,,https://www.jstor.org/stable/3888641,,Journal article,Walker N. J.,,,,The South African Archaeological Bulletin,1983-01-01,,138,,,,88-92,,,,38,,,,,None,,,,,10. 2307/3888641,2024-11-18,,,47272b3b-4287-47dd-9da8-5b6640eebcf0
Bambata Pottery and Western Bantu: Re-interpreting the Early Iron Age in Southern Africa,,,,2024-11-18,,,,None,,,,INFO-00000246,,https://journals.co.za/doi/abs/10.10520/ejc-nmsa_sah-v34-n1-a1,,Journal article,Huffman Thomas N.,,,,Southern African Humanities,2021-01-01,,1,,,,1-17,,,,34,,,,,None,,,,,10. 10520/ejc-nmsa_sah-v34-n1-a1,2024-11-18,,,a30b46f2-b93a-422d-b312-d6d8ff400ace
The Stylistic Origin of Bambata and the Spread of Mixed Farming in Southern Africa,,,,2024-11-18,,,,None,,,,INFO-00000247,,https://journals.co.za/doi/abs/10.10520/EJC84753,,Journal article,Huffman Thomas N.,,,,Southern African Humanities,2005-01-01,,1,,,,57-79,,,,17,,,,,None,,,,,10. 10520/ejc84753,2024-11-18,,,0daf142c-2077-4c21-ae4e-4a868dd50327
The Archaeological Evidence for the Appearance of Pastoralism and Farming in Southern Africa,,,,2024-11-18,None,,,None,,None,,INFO-00000248,,https://journals.plos.org/plosone/articleid=10.1371/journal.pone.0198941,,Journal article,Lander Faye ; Russell Thembi,,,None,Plos One,2018-06-14,,6,None,English,,E0198941,,,,13,None,None,None,None,None,,None,None,,10. 1371/journal. pone. 0198941,2024-11-18,,None,a82c49e3-9617-46ac-a092-58e0fb95e681
Through Thick and Thin: Early Pottery in Southern Africa,,,,2024-11-18,None,,,None,,None,,INFO-00000249,,https://brill.com/view/journals/jaa/4/2/article-p235_4.xml,,Journal article,Sadr Karim ; Sampson C. Garth,,,None,None,2006-10-25,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,10. 3213/1612-1651-10074,2024-11-18,,None,82475bba-0209-4a65-bdca-af114f878f0b
Technological Trends in the Middle Stone Age of South Africa between Mis 7 and Mis 3,,,,2024-11-18,,,,None,,,,INFO-00000250,,https://www.journals.uchicago.edu/doi/full/10.1086/673283,,Journal article,Wurz Sarah,,,,Current Anthropology,2013-12-01,,S8,,,,S305-s319,,,,54,,,,,None,,,,,10. 1086/673283,2024-11-18,,,dc7bfb6b-c97d-49ac-af28-878226b00b75
Late Pleistocene Techno-traditions in Southern Africa: a Review of the Still Bay and Howiesons Poort C. 75–59 Ka,,,,2024-11-18,None,,,None,,None,,INFO-00000251,,https://doi.org/10.1007/s10963-012-9060-3,,Journal article,Henshilwood Christopher s.,,,None,Journal of World Prehistory,2012-12-01,,3,None,English,,205-237,,,,25,None,None,None,None,None,,None,None,,10. 1007/s10963-012-9060-3,2024-11-18,,None,bcdf6ea4-b544-47c5-a771-4f3f8f433471
The Mis5 Pietersburg at 28 Bushman Rock Shelter Limpopo Province South Africa,,,,2024-11-18,None,,,None,,None,,INFO-00000252,,https://journals.plos.org/plosone/articleid=10.1371/journal.pone.0202853,,Journal article,Porraz Guillaume ; Val Aurore ; Tribolo Chantal ; Mercier Norbert ; Peña Paloma De La ; Haaland Magnus M. ; Igreja Marina ; Miller Christopher E. ; Schmid Viola C.,,,None,Plos One,2018-10-10,,10,None,English,,E0202853,,,,13,None,None,None,None,None,,None,None,,10. 1371/journal. pone. 0202853,2024-11-18,,None,934396a0-7d19-46a7-9b6d-c0b1e216b4fa
The Southern African Stone Age Sequence Updated (ii),,,,2024-11-18,,,,None,,,,INFO-00000253,,https://www.jstor.org/stable/27200587,,Journal article,Lombard Marlize ; Bradfield Justin ; Caruana Matthew V. ; Makhubela Tebogo V. ; Dusseldorp Gerrit L. ; Kramers Jan D. ; Wurz Sarah,,,,The South African Archaeological Bulletin,2022-01-01,,217,,,,172-212,,,,77,,,,,None,,,,,None,2024-11-18,,,445dc4ee-16fa-4ee4-baf6-c54872109acd
Technocomplexes and Chronostratigraphy for Mis 6-1 in Southern Africa,,,,2024-11-18,,,,None,,,,INFO-00000254,,https://journals.co.za/doi/full/10.25131/sajg.124.0058,,Journal article,Wurz s.,,,,South African Journal of Geology,2021-12-01,,4,,,,1083-1092,,,,124,,,,,None,,,,,10. 25131/sajg. 124. 0058,2024-11-18,,,9518cfc5-d2d0-4392-873e-7e4337adb9ee
Howiesons Poort,,,,2024-11-18,None,,,None,,None,,INFO-00000255,,https://oxfordre.com/anthropology/display/10.1093/acrefore/9780190854584.001.0001/acrefore-9780190854584-e-34d=%2F10.1093%2Facrefore%2F9780190854584.001.0001%2Facrefore-9780190854584-e-34&p=emailAqW9hiUxOPcus,,Book section,Peña Paloma De La,,,None,Oxford Research Encyclopedia of Anthropology,None,,None,None,English,,None,,,,None,None,None,None,None,978-0-19-085458-4,,None,None,,None,2024-11-18,,None,fda7507f-f5ae-440c-a669-41b9c0d62d4b
Revisiting Middle Stone Age Hunting at ≠gi Botswana: a Tip Cross-sectional Area Study,,,,2024-11-18,None,,Copyright (c) 2022 Marlize Lombard & Steven Churchill,None,,None,,INFO-00000256,,https://journals.uj.ac.za,,Journal article,Lombard Marlize ; Churchill Steven,,,None,Southern African Field Archaeology,2022-01-01,,None,None,English,,None,,,,17,None,None,None,None,None,,None,None,,10. 36615/safa. 1. 1138. 2022,2024-11-18,,None,bf632e86-ed38-442c-8065-6fad6ac3b430
Stone Age Archaeology in Zimbabwe,,,,2024-11-18,,,,Uppsala University,,,,INFO-00000257,,None,,Book section,Walker Nick ; Thorp Carolyn,,,,Caves Monuments and Texts: Zimbabwean Archaeology Today,1997-01-01,,None,,,,9-31,,,,None,,,,,91-506-1246-8,,,,,None,2024-11-18,,,6fe85b37-2a47-4d93-a80e-b37c829b4773
The Middle Stone Age of Zimbabwe: some Aspects of Former Research and Future Aims,,,,2024-11-18,,,,University of Zimbabwe,,,,INFO-00000258,,None,,Book section,Larsson Lars,,,,Aspects of African Archaeology Papers from the 10th Congress of the Pan African Association for Prehistory and Related Studies.,1996-01-01,,None,,,,201-211,,,,None,,,,,None,,,,,None,2024-11-18,,,2975b55e-109b-4ec7-9a38-35f98517e941
The Role of Culture in Early Expansions of Humans (ROCEEH) Research Center. Roceeh out of Africa Database (ROAD). 2020. Period o Client.,,,,2024-11-18,,,,None,,,,INFO-00000259,,https://client.perio.do/page=authority-view&backendID=web-https%3A%2F%2Fdata.perio.do%2F&authorityID=p0s2rwk,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-11-18,,,e0ab647c-6e3f-4f9d-9992-18eb9003aba5
The Sangoan Industries of Southern Rhodesia,,,,2024-11-18,,,,None,,,,INFO-00000260,,https://www.jstor.org/stable/3887429,,Journal article,Cooke C. K.,,,,The South African Archaeological Bulletin,1962-01-01,,68,,,,212-230,,,,17,,,,,None,,,,,10. 2307/3887429,2024-11-18,,,d3c618ec-9894-40f7-beb3-728f5dd52146
A Review of the Reconstructed Palaeoenvironmental Record of Zimbabwe and Call for Multidisciplinary Research,,,,2024-11-18,,,,None,,,,INFO-00000261,,https://www.sciencedirect.com/science/article/pii/S0031018216304175,,Journal article,Katsamudanga Seke ; Nhamo Ancila,,,,Palaeogeography Palaeoclimatology Palaeoecology,2016-11-01,,None,,,,460-471,,,,461,,,,,None,,,,,10. 1016/j. palaeo. 2016. 08. 041,2024-11-18,,,1bb67cdb-483a-48de-a3f9-7c37e396a93b
The Fauresmith of South Africa: a New Assemblage from Canteen Kopje and Significance of the Technology in Human and Cultural Evolution,,,,2024-11-18,,,,None,,,,INFO-00000262,,https://www.sciencedirect.com/science/article/pii/S0047248420301457,,Journal article,Kuman Kathleen ; Lotter Matt G. ; Leader George m.,,,,Journal of Human Evolution,2020-11-01,,None,,,,102884,,,,148,,,,,None,,,,,10. 1016/j. jhevol. 2020. 102884,2024-11-18,,,3fef4267-8da7-4aa7-9062-ad52b6222ed2
South African and Lesotho Stone Age Sequence Updated (I),,,,2024-11-18,,,,None,,,,INFO-00000263,,https://search.informit.org/doi/abs/10.3316/INFORMIT.617841877585261,,Journal article,Lombard Marlize ; Wadley Lyn ; Deacon Janette ; Wurz Sarah ; Parsons Isabelle ; Mohapi Moleboheng ; Swart Joane ; Mitchell Peter,,,,South African Archaeological Bulletin,2012-06-01,,195,,,,123-144,,,,67,,,,,None,,,,,10. 3316/informit. 617841877585261,2024-11-18,,,95e63a4e-2271-4bb3-93f2-c344c2cffe0c
African Stone Age,,,,2024-11-18,None,,,Springer International Publishing,,None,,INFO-00000264,,https://doi.org/10.1007/978-3-030-30018-0_658,,Book section,Mc Call Grant S. ; Taylor-perryman Rebecca,,,None,Encyclopedia of Global Archaeology,2020-01-01,,None,None,English,,64-70,,,,None,None,None,None,None,978-3-030-30018-0,,None,None,,None,2024-11-18,,None,cc7a1a46-f1ff-437d-a91a-4f0694848a35
Chron Ontology,,,,2024-11-18,,,,None,,,,INFO-00000265,,https://chronontology.dainst.org/info/about,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-11-18,,,afd0c412-281a-4120-94dd-4bd8490646ba
Chron Ontology,,,,2024-11-18,,,,None,,,,INFO-00000266,,https://chronontology.dainst.org/period/dd3ZBu95ym8I,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-11-18,,,966c0b46-63dc-49ce-a90f-831f27540f49
Formal Subdivision of the Holocene Series/epoch: a Summary,,,,2024-11-18,None,,,None,,None,,INFO-00000267,,https://doi.org/10.1007/s12594-019-1141-9,,Journal article,Walker Mike ; Gibbard Phil ; Head Martin J. ; Berkelhammer Max ; Björck Svante ; Cheng Hai ; Cwynar Les C. ; Fisher David ; Gkinis Vasilios ; Long Antony ; Lowe John ; Newnham Rewi ; Rasmussen Sune Olander ; Weiss Harvey,,,None,Journal of the Geological Society of India,2019-02-01,,2,None,English,,135-141,,,,93,None,None,None,None,None,,None,None,,10. 1007/s12594-019-1141-9,2024-11-18,,None,c8d3573c-3f83-4b3e-b1f8-0b8ba4e11dff
Chron Ontology,,,,2024-11-18,,,,None,,,,INFO-00000268,,https://chronontology.dainst.org/period/iFSXg6L89xVF,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-11-18,,,3e116aa2-d034-4ca7-8628-944ec4a14dbd
The Archaeology of Southern Africa,,,,2024-11-18,None,,,Cambridge University Press,,None,,INFO-00000269,,None,,Book,Mitchell Peter,,,None,None,2002-11-14,,None,None,English,,None,,,,None,None,None,None,None,978-0-521-63389-5,,None,None,,None,2024-11-18,,None,4713da50-a8c8-4c23-8dd4-bbf02ee1b1fd
Those Marvellous Millennia: the Middle Stone Age of Southern Africa,,,,2024-11-18,,,,None,,,,INFO-00000270,,https://doi.org/10.1080/0067270X.2015.1039236,,Journal article,Wadley Lyn,,,,Azania: Archaeological Research in Africa,2015-04-03,,2,,,,155-226,,,,50,,,,,None,,,,,10. 1080/0067270x. 2015. 1039236,2024-11-18,,,1c176bb5-0ce0-4255-b096-92a0493cf87c
Africa from Mis 6-2: the Florescence of Modern Humans,,,,2024-11-18,None,,,Springer Netherlands,,None,,INFO-00000271,,https://doi.org/10.1007/978-94-017-7520-5_1,,Book section,Stewart Brian A. ; Jones Sacha C.,,,None,Africa from Mis 6-2: Population Dynamics and Paleoenvironments,2016-01-01,,None,None,English,,1-20,,,,None,None,None,None,None,978-94-017-7520-5,,None,None,,None,2024-11-18,,None,7405dae9-ede1-4563-a709-f207934f483a
Art & Architecture Thesaurus (Getty Research Institute),,,,2024-11-18,,,,None,,,,INFO-00000272,,https://www.getty.edu/research/tools/vocabularies/aat/,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2024-11-18,,,61e158a5-5488-431e-a615-d3879a7a4776
The Ics International Chronostratigraphic Chart,,,,2024-11-18,None,,Http: //creativecommons. org/licenses/by-nc/4. 0,None,,None,,INFO-00000273,,http://www.episodes.org/journal/view.htmldoi=10.18814/epiiugs/2013/v36i3/002,,Journal article,Cohen K. m. ; Finney S. c. ; Gibbard P. l. ; Fan J. x.,,,None,Episodes,2013-09-01,,3,None,English,,199-204,,,,36,None,None,None,None,None,,None,None,,10. 18814/epiiugs/2013/v36i3/002,2024-11-22,,None,25d783a1-80c9-4113-a132-a6191b0f0ed0
The Stone Age Prehistory of Southern Africa,,,,2024-11-18,,,,None,,,,INFO-00000274,,https://www.jstor.org/stable/2155639,,Journal article,Klein Richard G.,,,,Annual Review of Anthropology,1983-01-01,,None,,,,25-48,,,,12,,,,,None,,,,,None,2024-11-18,,,4fdde920-a030-4354-b76b-abe9fe8e3f67
Concise Oxford Dictionary of Archaeology,,,,2024-11-18,None,,,Oup Oxford,,None,,INFO-00000275,,None,,Book,Darvill Timothy,,,None,None,2008-07-31,,None,None,English,,None,,,,None,None,None,None,None,978-0-19-157904-2,,None,None,,None,2024-11-18,,None,3f50c0cd-adcf-47e7-a73c-6f661d183761
36 Com 8b. 16 - Decision,,,,2025-06-19,None,,,None,,None,,INFO-00000276,,https://whc.unesco.org/en/decisions/4787/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-19,,None,f2e9c506-5337-4270-8c39-b5eebb48e2b8
Centre Du Patrimone Mondial - État De Conservation (SOC 2006) Île De Gorée (Sénégal),,,,2025-06-19,None,,,None,,None,,INFO-00000277,,https://whc.unesco.org/fr/soc/1167/,,Webpage,Mondial Unesco Centre Du Patrimoine,,,None,Unesco Centre Du Patrimoine Mondial,None,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-19,,None,3fba89ea-bd19-45c5-b02c-d06a857bbd27
Unesco World Heritage Centre - State of Conservation (SOC 2012) Saloum Delta (Senegal),,,,2025-06-19,None,,,None,,None,,INFO-00000278,,https://whc.unesco.org/en/soc/245/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-19,,None,e78ccc7b-c462-4f7c-b785-7629c159223b
45 Com 7b. 131 - Decision,,,,2025-06-19,None,,,None,,None,,INFO-00000279,,https://whc.unesco.org/en/decisions/8193/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-19,,None,6f4c1a71-964d-406d-9f44-7ebabc6078f6
Les Escales Du Fleuve Sénégal,,,,2025-06-19,None,,,None,,None,,INFO-00000280,,https://whc.unesco.org/fr/listesindicatives/2078/,,Webpage,Mondial Unesco Centre Du Patrimoine,,,None,Unesco Centre Du Patrimoine Mondial,None,,None,None,French,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-19,,None,48247587-b0fa-4dd1-9740-fb90b9b64238
Maritime and Underwater Cultural Heritage Management on the Historic and Arabian Trade Routes,,,,2025-06-18,None,,,Springer Nature,,None,,INFO-00000281,,None,,Book,Parthesius Robert ; Sharfman Jonathan,,,None,None,2020-12-15,,None,None,English,,None,,,,None,None,None,None,None,978-3-030-55837-6,,None,None,,None,2025-06-18,,None,f73b5954-0443-4e65-8c6f-ca7652a2134c
Full Article: a World of Beads from the Island of Mozambique (16th–20th centuries),,,,2025-06-18,,,,None,,,,INFO-00000282,,https://www.tandfonline.com/doi/full/10.1080/00438243.2024.2425277casa_token=BqsGgMrpjnQAAAAA%3AQV5BPz32liiwsfATEGIJ82-or3XuUSouL3fCkSF84Wt3jwJsl5cqEEhMvT6qLVEarRjW4cj3zsMuVQ,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-06-18,,,a22e9df0-3c34-4333-8d09-4fc4ff7f1ac5
Saloum Delta,,,,2025-06-18,None,,,None,,None,,INFO-00000283,,https://whc.unesco.org/en/list/1359/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-18,,None,c58c9339-386c-45c5-9811-8690ddba493b
Maea Sa m - Resource Manager,,,,2025-06-18,,,,None,,,,INFO-00000284,,https://tdb.maeasam.org/add-resource/298517a4-4a2c-4b42-864f-b52e44afc9f2,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-06-18,,,d8c4d936-3fb4-45e1-bc3c-877e5dd9c7f7
Stone Circles of Senegambia,,,,2025-06-18,None,,,None,,None,,INFO-00000285,,https://whc.unesco.org/en/list/1226/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-18,,None,1c6a483f-6d1d-4a0c-9739-a02c69b9d360
Kunta Kinteh Island and Related Sites,,,,2025-06-20,None,,,None,,None,,INFO-00000286,,https://whc.unesco.org/en/list/761/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,6b7dc373-7dc8-44f3-86c8-41296520d3e6
Finding Roots: Pop Culture Pilgrimage and the Affective Geographies of Kunta Kinteh Island. | Dark Tourism and Pilgrimage,,,,2025-06-20,,,,None,,,,INFO-00000287,,https://www.cabidigitallibrary.org/doi/abs/10.1079/9781789241877.0185,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-06-20,,,48001d28-45ad-49be-bf4c-6d1e4da3232e
Tsodilo,,,,2025-06-20,None,,,None,,None,,INFO-00000288,,https://whc.unesco.org/en/list/1021/,,Webpage,Centre Unesco World Heritage,,,None,Unesco World Heritage Centre,None,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,None,2025-06-20,,None,0f86724a-0171-4b07-97fb-9ae0c5b7b266
Ritual in the Hunter-gatherer/early Pastoralist Period: Evidence from Tsodilo Hills Botswana,,,,2025-07-02,,,,None,,,,INFO-00000289,,None,,Journal article,Coulson Sheila ; Segadika Phillip ; Walker Nick,,,,African Archaeological Review,2016-06-01,,None,,,,None,,,,33,,,,,None,,,,,10. 1007/s10437-016-9218-y,2025-07-02,,,ef440c43-aff7-4620-add8-a34f900f7677
Southern Africa and the East African Coast,,,,2025-07-02,,,,Blackwell Publishing,,,,INFO-00000290,,None,,Book section,Pwiti Gilbert,,,,African Archaeology a Critical Introduction,2005-01-01,,None,,,,378-391,,,,None,,,,,1-4051-0155-5,,,,,None,2025-07-02,,,14127d0f-64cb-41cb-99e2-c1658f97bc75
The Early Settlement of the Northern Swahili Coast,Ph. d. Thesis,,None,2025-07-02,,,,University of Cambridge,,,None,INFO-00000291,,None,,Unpublished PhD thesis,Horton Mark,None,None,,None,1984-01-01,None,None,,,,None,None,None,,None,,,,,None,,,,None,None,2025-07-02,None,,8863b80d-19d3-4862-b988-1240f7fc9760
The Swahili and Globalization in the Indian Ocean,,,,2025-07-02,,,,Routledge,,,,INFO-00000292,,None,,Book section,Kusimba Chapurukha m.,,,,The Routledge Handbook of Archaeology and Globalization,2016-01-01,,None,,,,None,,,,None,,,,,978-1-315-44900-5,,,,,None,2025-07-03,,,8f085f12-4dc9-47bb-ac83-e6d1ac6a17d4
The Swahili World,,,,2025-07-02,,,,Routledge,,,,INFO-00000293,,None,,Book section,La Violette Adria ; Wynne-jones Stephanie,,,,The Swahili World,2017-01-01,,None,,,,None,,,,None,,,,,978-1-315-69145-9,,,,,None,2025-07-02,,,db7c73dc-7f69-4f4a-9e9a-1315c2d83f8b
Ceramics and the Early Swahili: Deconstructing the Early Tana Tradition,,,,2025-07-02,None,,,None,,None,,INFO-00000294,,https://doi.org/10.1007/s10437-011-9104-6,,Journal article,Fleisher Jeffrey ; Wynne-jones Stephanie,,,None,African Archaeological Review,2011-12-01,,4,None,English,,245-278,,,,28,None,None,None,None,None,,None,None,,10. 1007/s10437-011-9104-6,2025-07-02,,None,5fdcc341-1271-4b70-b8e1-df23eefac015
Iron Age Sites in North-eastern Tanzania,,,,2025-07-02,,,,None,,,,INFO-00000295,,https://doi.org/10.1080/00672706709511438,,Journal article,Soper Robert,,,,Azania: Archaeological Research in Africa,1967-01-01,,1,,,,19-36,,,,2,,,,,None,,,,,10. 1080/00672706709511438,2025-07-02,,,96f285d1-65d9-4ac1-aa71-19503472b60f
Iron Age Sites in North-eastern Tanzania: Azania: Archaeological Research in Africa: Vol 2 no 1,,,,2025-07-02,,,,None,,,,INFO-00000296,,https://www.tandfonline.com/doi/abs/10.1080/00672706709511438,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-02,,,30a17195-6180-4cc0-9a6a-842caec4fb7c
Deloraine Farm: a New Type of Pottery,,,,2025-07-02,None,,Copyright Taylor and Francis Group Llc,None,World,None,,INFO-00000297,,https://www.tandfonline.com/doi/abs/10.1080/00672707209511561,,Journal article,Cohen Mark ; Gramly R. m.,,,None,Azania: Journal of the British Institute in Eastern Africa,1972-01-01,,None,None,English,,None,,,,None,None,None,None,None,None,,None,None,,10. 1080/00672707209511561,2025-07-02,,None,f4188586-0e0b-4a64-a62c-46a0b2ad0102
Deloraine Farm: a New Type of Pottery: Azania: Archaeological Research in Africa: Vol 7 no 1 - Get Access,,,,2025-07-02,,,,None,,,,INFO-00000298,,https://www.tandfonline.com/doi/pdf/10.1080/00672707209511561,,Webpage,None,,,,None,None,,None,,,,None,,,,None,,,,,None,,,,,None,2025-07-02,,,fca7b391-4dd8-4bb9-ba21-6948d3469c4e
Pottery Types from Archaeological Sites in East Africa,,,,2025-07-02,None,,,None,,None,,INFO-00000299,,https://www.cambridge.org/core/journals/journal-of-african-history/article/abs/pottery-types-from-archaeological-sites-in-east-africa/F3F61FD705B59B249949D3A5524DAACE,,Journal article,Posnansky Merrick,,,None,The Journal of African History,1961-07-01,,2,None,English,,177-198,,,,2,None,None,None,None,None,,None,None,,10. 1017/s0021853700002401,2025-07-02,,None,f17a3915-6f12-4f35-91dc-1aa3f4c4024b
Archaeology and Linguistic Reconstructions of History in East Africa,,,,2025-07-02,None,,,University of California Press,,None,,INFO-00000300,,https://www.degruyterbrill.com/document/doi/10.1525/9780520314757-009/pdflicenseType=restricted,,Book section,Ambrose Stanley H.,,,None,The Archaeological and Linguistic Reconstruction of African History,1982-01-01,,None,None,English,,104-157,,,,None,None,None,None,None,978-0-520-31475-7,,None,None,,None,2025-07-02,,None,4f0055a7-5036-450b-ba2b-9b1f8b06b6e5
