Chronology type,Description,Chronology name value,Digital provenance,Descriptive start date,Relationship type,Descriptive end date type,Editorial note,Name type,Resource modified at,Descriptive end date,Start date,MAEASaM ID,Region,Connected to,Geometry,Source,Descriptive start date type,Resource creation at,End date,resourceid
Porcelain,"The term ""Celadon"" is today used in at least three different ways as denoting a color, a glaze and a ware. Celadon glaze - greenish, high-fired, and used on top of a white porcelain body. Wares: A term first minted in Europe to describe the wares decorated with a subtle sea green glaze - obtained by slight underfiring - and made at the kilns centered in the Longquan area of southern Zhejiang province, Colour: High-fired green wares in general, in China known as qingci. Occurs throughout the Indian Ocean network and in eastern Africa around the early 9th Century (AD) and onwards. (Zhao 2015)",Chinese green-glazed stoneware,,801,has broader term (has narrower term),CE,,Primary name,,1600,801,CHRN-00000134,"Africa, Primary name",Chinese porcelain,, Cultural Landscapes Communities and World Heritage: Pursuit of the Local in the Tsodilo Hills Botswana,CE,,1600,9eef9441-62e4-4f75-a301-9a8b6dd811de
Porcelain,"Starting around the 10th century (AD), Qingbai Ware constitutes the one of the largest categories of Chinese monochrome ceramics most exported into the Muslim world and East Africa between 11th and 13th centuries (AD), all of which has glaze ranging in color from pale blue gray to pale blue and including blue-gray-green and even off-white. (Zhao 2015)",Qingbai ware (ceramic),,1001,has broader term (has narrower term),,,Primary name,,None,1001,CHRN-00000138,"Africa, Primary name",Chinese porcelain,, Cultural Landscapes Communities and World Heritage: Pursuit of the Local in the Tsodilo Hills Botswana,CE,,None,a17ef22b-40fa-49ea-a34e-affee7184c48
Porcelain,"Stoneware/Porcelain decorated with cobalt on a white porcelain body covered with a clear colorless glaze and mostly made in the city of Jingdezhen, located on the southern bank of the Chang River in Jiangxi Province. The ware becomes increasingly present in assemblages in eastern and southern Africa around the mid 15th century AD onwards. (Zhao 2015)",Chinese blue on white ware,,1401,has broader term (has narrower term),CE,"Portuguese carried this porcelain on journeys during the late 16th to early 17th century (Klose, J 2007)",Primary name,,1911,1401,CHRN-00000137,"Africa, Primary name",Chinese porcelain,, Cultural Landscapes Communities and World Heritage: Pursuit of the Local in the Tsodilo Hills Botswana,CE,,1911,bfde3cd1-a15b-4ca5-9648-0d7e34324bdf
Earthenware,"This ware has soft to buff paste, with a fine temper and fairly smooth fracture. The external surface is glazed with silvery-brown lustre, giving it a shiny metallic appearance",Lustreware (ceramic),,801,has broader term (has narrower term),CE,,Primary name,,1001,801,CHRN-00000140,"Africa, Primary name",Persian earthenware,, Establishment of Botswanas National Park and Game Reserve System,CE,,1001,312fedae-8a28-44cf-bbb3-ea7972aa155e
Earthenware,"Ceramics have soft pink to pink-buff paste, very fine, with little temper and smooth fracture. The internal surface is decorated with white glaze and brown colour iridescence. The ware is noted to be from Siraf and Susa sites in Iran.",Lead glazed polychrome ware (ceramic),,900,has broader term (has narrower term),CE,,Primary name,,1050,900,CHRN-00000141,"Africa, Primary name",Persian earthenware,, An East African Perspective of the Anthropocene,CE,,1050,a485d9c3-1857-4aa7-b76b-a2846df60ccb
Earthenware,"Hard red-orange paste, with a fine temper and smooth fracture. The inside is slipped and glazed with whitish–green glaze, thought to have originated from southern Arabia.",Black on yellow ware (ceramic),,1301,has broader term (has narrower term),,,Primary name,,None,1301,CHRN-00000142,"Africa, Primary name",Persian earthenware,, An East African Perspective of the Anthropocene,CE,,None,966242dc-0417-4536-8ce3-c4295567397e
Earthenware,,Iranian sgraffiato,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000143,"Africa, Primary name",Persian earthenware,, An East African Perspective of the Anthropocene,,,,bbeaad97-3aec-45bb-97e1-1143971fd048
Earthenware,,Fine Cream ware (ceramic),,801,has broader term (has narrower term),,,Primary name,,None,801,CHRN-00000144,"Africa, Primary name",Persian earthenware,, Establishment of Botswanas National Park and Game Reserve System,CE,,None,569bb370-6d36-4e14-861d-d5d906b3db80
Earthenware,"Earthenware with soft white to buff paste, with a fine temper and fairly smooth fracture. It consists of undefined areas of green, brown and yellow splashes with green often being the predominant colour. Considered to derive from the Persian Gulf region.",White glaze and colour splashed ware (ceramic),,801,has broader term (has narrower term),,,Primary name,,None,801,CHRN-00000145,"Africa, Primary name",Persian earthenware,, Establishment of Botswanas National Park and Game Reserve System,CE,,None,63c48418-d0d5-4316-b29e-f2858c1b6a0c
Lithic industry,The artefact assemblages consists variously of crude flakes or flakes and elementary core tools on pebbles or angular fragments. The period coincides closely with the appearance in the fossil record of the robust australopithecine A. boisei and of Homo habilis. (Gowett et al. 2022),Oldowan (Eastern Africa),,2.6,has broader term (has narrower term),Ma BP,,Primary name,,1.2,y-2600000,CHRN-00000148,"Eastern Africa, Primary name",Early Stone Age (Eastern Africa),, Interconnections: Glass Beads and Trade in Southern and Eastern Africa and the Indian Ocean - 7th to 16th Centuries Ad,Ma BP,,y-1200000,264a9947-b647-4de6-98f4-78ef8309beb9
Lithic industry,"Term suggested for a period that is represented by tools at least 700,000 years before the earliest Oldowan tools in Eastern Africa. They have only been found at one site west of Lake Turkana, Lomekwi 3. Assembalage composed of cores and flakes, the cores being made from heavy large sized pebbles. The flake production technique is described as a combination of core reduction and battering activities, by passive hammer and bipolar; mainly by freehand percussion. There is much debate about who made these tools since Australopithecines and Homo lived here at this time. (Harmand et al. 2015)",Lomekwian,,3.3,has broader term (has narrower term),Ma BP,,Primary name,,2.6,y-3300000,CHRN-00000150,"Kenya, Primary name",Early Stone Age (Eastern Africa),, The Swahili Coast and the Indian Ocean Trade Patterns in the 7th–10th Centuries Ce,Ma BP,,y-2600000,fef23e96-9055-449c-9664-224fcada8033
Lithic industry,"A subsequent development from the Oldowan marked by bifacial stone artefacts called handaxes and cleavers, which broadly correspond with the emergence of Homo erectus in East Africa",Acheulean (Eastern Africa),,1.8,has broader term (has narrower term),ka BP,,Primary name,,200,y-1800000,CHRN-00000151,"Eastern Africa, Primary name",Early Stone Age (Eastern Africa),, Tsodilo,Ma BP,,y-200000,8aaf098e-0269-4bb3-b1be-b199cad16cff
Lithic industry,Acheulean assemblages are characterised by the presence of the hand axes as well as cleavers. Some of the earliest finds of Mode 2 are found at sites of the Konso-Gardula formation of the south-western Rift of Ethiopia dating from around 1.7 mya.,Acheulean (Ethiopia),,1.7,has broader term (has narrower term),ka BP,,Primary name,,200,y-17000000,CHRN-00000152,"Ethiopia, Primary name",Early Stone Age (Eastern Africa),, Antique Chinese and Japanese Porcelain Dictionary and Glossary of Terms,Ma BP,,y-200000,85fd2cb9-4a76-41cc-bcac-0fde789d79ff
Lithic industry,Middle Palaeolithic industry in northern Sudan and possibly southern Egypt characterised by a wide variety of raw materials and a strong correlation of specific materials to specific technology used in tool creation. 85kya - 65kya (Goder-Goldberger 2013),Khormusan,,85,has broader term (has narrower term),ka BP,,Primary name,,65,y-85000,CHRN-00000154,"Sudan, Primary name",Middle Stone Age (Eastern Africa),, Chinese-style Ceramics in East Africa from the 9th to 16th Century: a Case of Changing Value and Symbols in the Multi-partner Global Trade,ka BP,,y-65000,49fcd8f4-14b7-488e-9da7-abc1bea208ad
Lithic industry,"This is an intermediate industry between the Acheulean and the Middle Stone Age and thought to be an adaptation to a forested environment. The assemblages are characterised by tools that seem to signal a transition between the above industries. Although usually grouped together, descriptions of the Sangoan-Lupemban are slightly different, with the former having both heavy duty and light duty tools, scrapers, utilised and retouched tools, while the Lupemban consists of points foliate shaped lanceolate and Levallois debitage. Dating still problematic. (McBrearty 1988)",Sangoan Lupemban (Eastern Africa),,300,has broader term (has narrower term),ka BP,,Primary name,,200,y-300000,CHRN-00000156,"Eastern Africa, Primary name",Transitional Earlier Stone Age and Middle Stone Age (Eastern Africa),,,ka BP,,y-200000,b9d972ec-dd66-4841-8651-dfef16113745
Lithic industry,"The LSA in Ethiopia is characterised with the development of a microlithic industry. Many terminologies have been applied to this period including the Mode 4-5 Industry, Blade Mode 4 Industry, as well as the Ethiopian Blade Tool Tradition which has been divided into three discrete temporal phases. Currently, the earliest date for the start of the LSA in Ethiopia is 27 kya. Evidence indicates that microlithic tools were being manufactured well within the Aksumite Period in the form of highly standardised scrapers. Microlithic technologies also co-occur with the first evidence of pottery in northern Ethiopia dated to around 4700 years ago and with the presence of domestic livestock in the faunal remains. The industry also co-occurs with the presence of grindstones and later with classical and late Aksumite pottery dating from the fifth to sixth centuries AD. (Finneran 2007)",Blade Tool Tradition (Ethiopian Rift Valley),,27,has broader term (has narrower term),,,Primary name,,None,y-27000,CHRN-00000158,"Ethiopia, Primary name",Later Stone Age (Eastern Africa),, Antique Chinese and Japanese Porcelain Dictionary and Glossary of Terms,ka BP,,..,27ec5089-c0bc-453d-97e9-3f06e3cac4a3
Lithic industry,"Stone flaking technologies associated with hunter gatherer economy, highly mobile populations lacking pottery, exploited range of habitats and a variety of medium to large sized animals, and who participated in wide ranging exchange networks that gave them access to different lithic materials such as obsidian and chert. Named Eburran after Mt Eburu which is located in the centre of its confirmed distribution. Four pre-neolithic phases have been described and roughly correspond to the Lower Kenya Capsian and Upper Kenya Capsian Phases A and B. The phases span the late terminal Pleistocene to the early Holocene; there is a progressive reduction of microlith size from phase 1 to phase 4. 12000-6000 BP. (Ambrose 1998)",Eburran,,"12,000",has broader term (has narrower term),BP,,Primary name,,6000,y-12000,CHRN-00000162,"Kenya, Primary name",Later Stone Age (Eastern Africa),, A Handbook of Chinese Ceramics - the Metropolitan Museum of Art,BP,,'-6000,45a7c516-2f3a-4645-a41b-52522069baf1
Ceramic tradition,"Ceramics found primarily at Later Stone Age Sites in the Lake Victoria basin associated with a fishing-foraging economy and, in later occupations, domestic livestock dated 8000-2000 B.P (Lane et al 2007)",Kansyore,,8000,has broader term (has narrower term),BP,,Primary name,,2000,'-8000,CHRN-00000166,"Kenya, Primary name",Later Stone Age (Eastern Africa),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania: Azania: Archaeological Research in Africa: Vol 50 no 2 - Get Access,BP,,'-2000,7434a2d6-4b90-4576-94c3-c2248022759e
Ceramic tradition,"A specific pottery type found across the Sahara-Sahel margin, characterised by wavy line (WL) decoration using a comb, as well as other features. While this was originally considered chronologically equivalent to the Khartoum Mesolithic, and as a precedent to Dotted Wavy Line (DWL) Khartoum Neolithic, the two have since been dissociated and the WL is not necessarily earlier than DWL. (Mohammed-Ali and Khabir 2003)",Wavyline (Eastern Africa),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000168,"Eastern Africa, Primary name",Later Stone Age (Eastern Africa),, Ritualized Behavior in the Middle Stone Age: Evidence from Rhino Cave. Tsodilo Hills Botswana,,,,6a911029-7e6a-4146-9e17-0789a9dd5bc8
Lithic industry,,Acheulean (Sudan),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000170,"Sudan, Primary name",Early Palaeolithic (Sudan),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,,,,20a1aff7-2ed4-4f16-80ef-eb7046d1e279
Lithic industry,"Characterised by Nubian Levallois technology, which has two types of cores. (Usai 2019)",Early Middle Palaeolithic (Sudan),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000172,"Sudan, Primary name",Middle Palaeolithic (Sudan),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,,,,3ea725fa-00d5-483f-9ce2-ae0f5e3bbd4b
Lithic industry,,Late Middle Palaeolithic (Sudan),,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000173,"Sudan, Primary name",Middle Palaeolithic (Sudan),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,,,,4743eb50-11b7-4fcc-996e-8b0b6cca31f2
Lithic industry,,Nubian Mousterian,,,has broader term (has narrower term),,,Primary name,,,,CHRN-00000174,"Sudan, Primary name",Middle Palaeolithic (Sudan),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,,,,159f0435-7084-4463-8799-8d62f8ec8018
Lithic industry,"An Upper Palaeolithic industry named after Wadi Halfa in the Second Cataract, typified by cores and flakes using a specific Levallois technology. 19 500  - 17 500 BCE (Usai 2019)",Halfan,,"19,500",has broader term (has narrower term),BCE,,Primary name,,"17,500",y-19500,CHRN-00000167,"Sudan, Primary name",Late Palaeolithic (Sudan),, Maritime Community Settlement History in Pangani Bay Tanga Coastal Region Tanzania,BCE,,y-17500,25519843-a3b1-4d8a-9da5-534e301a8c23
Lithic industry,The longest lasting industry of the Plio-Pleistocene (Early Stone Age) in southern Africa and dating from about 1.3 mya to around 250 kya. It is marked by the presence of bifacial implements predominantly handaxes and cleavers that are made on a variety of stone materials. A continuation of simple tool forms including cores and flakes from the Oldowan is evidenced however retouched flakes become more common. (Mitchell 2002) ,Acheulean (Southern Africa),,1.3,has broader term (has narrower term),ka BP,,Primary name,,250,y-1300000,CHRN-00000178,"Southern Africa, Primary name",Earlier Stone Age (Southern Africa),, Saloum Delta,Ma BP,,y-250000,bbdad9cc-3842-4569-9605-602d077a1191
Lithic industry,"An early industry of the Plio-Pleistocene/Early Stone Age that is characterised by the simplest form of stone tools including cores, choppers, scrappers, battered stones as well as flakes both unretouched and retouched. Dates in southern Africa are based on East African assemblages, where the tools date from approximately 2.1 to 1.3 mya, coinciding with the appearance of Anthrolopithecus boisei Homo habilis. The latter is generally thought to have made these earliest tools. (Walker and Thorp 1997)",Oldowan (Southern Africa),,2.1,has broader term (has narrower term),Ma BP,,Primary name,,1.3,y-2100000,CHRN-00000181,"Southern Africa, Primary name",Earlier Stone Age (Southern Africa),, Africa from Mis 6-2: the Florescence of Modern Humans,Ma BP,,y-1300000,ee2bceb1-ecb8-40a3-9e30-555f1102808a
Lithic industry,"A transitional period from Earlier Stone Age (ESA) to the Middle Stone Age (MSA). The period is generally defined as a change in use of large cutting tools (LCTs) such as handaxes and cleavers to the use of blades, points, and prepared core technology (Levallois). In southern Africa, some researchers identify transitional industries such as the Fauresmith (South Africa) and Sangoan (Zambia) as a transitional industry developed out of the Later Final Acheulean. Date range: ~ 600 - 200 kya. (Kuman et al 2020)",Fauresmith,,600,has broader term (has narrower term),ka BP,,Primary name,,200,y-600000,CHRN-00000183,"Southern Africa, Primary name",Transitional Earlier Stone Age and Middle Stone Age (Southern Africa),, 36 Com 8b. 16 - Decision,ka BP,,y-200000,5964d3ec-f281-443e-9f2c-d049aa3173fd
Lithic industry,Bambesi (alt. Sangoan) is considered to be a transitional lithic industry between the Later Achuelean and the early Middle Stone Age. (Katsamudanga and Nhamo 2016),Bambesi (Zimbabwe),,500,has broader term (has narrower term),ka BP,,Primary name,,300,y-500000,CHRN-00000184,"Zimbabwe, Primary name",Transitional Earlier Stone Age and Middle Stone Age (Southern Africa),, Concise Oxford Dictionary of Archaeology,ka BP,,y-300000,4f885bbf-80fc-4a48-b7dd-638d70ef0c7b
Lithic industry,"The Sangoan industry (referred to as Bambesi in Zimbabwe) is considered to be a transitional lithic industry between the Later Achuelean and the early Middle Stone Age deriving predominantly north of the Limpopo River basin in southern Africa. It has been described from the Kalambo Falls site of Zambia and at sites, Hope Fountain, Pomongwe, Bambata and Gweru Kopje, and other sites around Hwange National Park, Zimbabwe. The industry is characterised by the low presense of prepared cores that are absent from the Later Achuelean, and by the presence of rare handaxes and cleavers, core-axes, core-scrapers, and blade cores. Sangoan Industry is roughly thought to date from around ca. 500 - 300 ka. (Kuman et al 2020)",Sangoan (South Central Africa),,500,has broader term (has narrower term),ka BP,,Primary name,,300,y-500000,CHRN-00000185,"Southern Africa, Primary name",Transitional Earlier Stone Age and Middle Stone Age (Southern Africa),, 36 Com 8b. 16 - Decision,ka BP,,y-300000,0ae2d9a8-9ec6-40d0-95c5-e81af6e03c0b
Lithic industry,"Zimbabwe's MSA referred to as Bambata or Bambatan (previously termed Rhodesian Still Bay) is named after a Matobo rockshelter, Bambata. The Bambata industriy is described by the presence of thick prepared cores, rare crescents, no bipolar anvils and sometimes more bifacial than unifacial points; it may date to around 100,000 years ago. The lack of absolute ages for Bambata assemblages and their complex sequences however make it challenging to place them within the broader MSA sequence in southern African. The industry, however, has been compared to MSA assemblages from the site, ≠Gi, situated in the Dobe Valley of the northern Kalahari Basin in Botswana. Possible date range for Bambatan industry: ~95 kya to ~35 kya. (Katsamudanga and Nhamo 2016)",Bambata industry (MSA),,95,has broader term (has narrower term),ka BP,,Primary name,,35,y-95000~,CHRN-00000187,"Zimbabwe, Primary name",Middle Stone Age (Southern Africa),, Concise Oxford Dictionary of Archaeology,ka BP,,y-350000~,ffcabbba-0019-4660-b091-2c4d97669563
Lithic industry,Suggested age MIS 6 to MIS 8 from around ~300 to 130 thousand years ago. Early Middle Stone Age includes those assemblages that are older than Still Bay.,Early Middle Stone Age (Southern Africa),,~300,has broader term (has narrower term),ka BP,,Primary name,,~130,y-300000~,CHRN-00000188,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, The Karari Industry: Early Pleistocene Archaeological Evidence from the Terrain East of Lake Turkana Kenya | Nature,ka BP,,y-130000~,5532fc1a-7caf-4393-b3b1-d647bf43e32b
Lithic industry,"The final Middle Stone Age is an informal designation and suggested to occur around ~47 to 29 thousand years ago. It is characterised by high regional variability that may include, bifacial tools, bifacially retouched points, hollow-based points. It can also be microlithic in character. The technocomplex has be based on assemblages deriving from the site Sibudu in the KwaZulu-Natal Province of South Africa. (Lombard et al 2012)",Final Middle Stone Age (Southern Africa),,~47,has broader term (has narrower term),ka BP,,Primary name,,~29,y-47000~,CHRN-00000189,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, Centre Du Patrimone Mondial - État De Conservation (SOC 2006) Île De Gorée (Sénégal),ka BP,,y-29000~,3bdfade3-59d4-4c91-b007-9dfc0b59b8d8
Lithic technocomplex,"The Howiesons Poort is a technological tradition within the Middle Stone Age of southern Africa. This technological tradition shows different characteristics, technical and symbolic (the engraving of ostrich eggshell containers, the appearance of engraved ochre, formal bone tool technology, compound adhesives for hafting and a great variability in hunting techniques). The Howiesons Poort is generally accepted as distributed south of the Zambezi River (Deacon 1995; Jacobs et al. 2008), though it must be clarified that most of its identification is related to the current territory of South Africa, south of the Limpopo River. (de la Peña 2020)",Howiesons Poort,,74.3,has broader term (has narrower term),ka BP,,Primary name,,51.5,y-74300,CHRN-00000190,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, The Archaeology of Southern Africa,ka BP,,y-51500,435f6eca-c311-4171-b638-34fa84b04d38
Lithic technocomplex,"The Mossel Bay technocomplex is characterised by a large number of ‘unworked’ points with faceted platforms and shaping through longitudinal flakes including a prepared core technology. It is approximately dated from around 98.4 thousand years to around 77.4 thousand years ago. The technocomplex is suggested to be confined to the all-year-rainfall region, along the southern Cape coast of South Africa. (Lombard et al 2022)",Mossel Bay,,98.4,has broader term (has narrower term),ka BP,,Primary name,,77.4,y-98400,CHRN-00000191,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, Formal Subdivision of the Holocene Series/epoch: a Summary,ka BP,,y-77400,64b10272-273c-4265-9009-62f546ed6e69
Lithic industry,"Includes tools and elongate flakes made on hornfels (see Bushman Rock Shelter, Cave of Hearths, Border Cave), but generally not well defined, Sampson used it for all sites north of Johannesburg. General Middle Stone Age term for a variety of assemblage types, but sometimes used as synonym for Howiesonspoort, before 1965 Still Bay used for all sites with points, see also Bambata.",Pietersburg,,300,has broader term (has narrower term),ka BP,,Primary name,,30,y-300000,CHRN-00000192,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, The Karari Industry: Early Pleistocene Archaeological Evidence from the Terrain East of Lake Turkana Kenya | Nature,ka BP,,y-30000,b9a215f7-c283-4441-80f0-3e1542783349
Lithic industry,"Defined at Sibudu Cave (South Africa) for MSA industries after Howiesons Poort dated at 58.5 ka (Jacobs et al. 2008), also includes Border Cave and expanded to include younger assemblages after HP without specific dating.",Post-Howiesonspoort,,59.6,has broader term (has narrower term),ka BP,,Primary name,,46.4,y-59600,CHRN-00000193,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, The Karari Industry: Early Pleistocene Archaeological Evidence from the Terrain East of Lake Turkana Kenya | Nature,ka BP,,y-46400,6def9c2d-d8ee-4a6f-ae9e-03914e9864f6
Lithic technocomplex,"The first of two technocomplexes during in the Middle Stone Age and occuring between approximately c. 77 - 70 kya. The period is when the technological and behavioural repertoire of early Homo sapiens expanded rapidly to include novel technologies such as heat treatment of lithic materials, pressure flaking of stone points, manufacture of complex armatures including the bow and arrow, and the production of symbolic artefacts including shell beads and engraved ochre, bone and ostrich eggshell. Still Bay has been predominantly documented in the Western Cape, Eastern Cape and KwaZulu-Natal Province of South Africa. It has also been tentatively assigned in Namibia at the site Apollo 11 (MSA 2). It is followed by the Howiesons Poort technocomplex in South Africa. (Henshilwood 2012)",Still Bay,,88.8,has broader term (has narrower term),ka BP,,Primary name,,67.4,y-88800,CHRN-00000194,"Southern Africa, Primary name",Middle Stone Age (Southern Africa),, Chron Ontology,ka BP,,y-67400,2488c375-14e0-4667-8847-e5d9f56c4657
Lithic industry,"The Tshangula industry is characterised with its backed artefacts, microlithic and Levallois technologies and occurs in the Matobo Hills, Zombepata and Redcliff Caves, and dates approximately between ~35 to 20 ka. It marks the end of the MSA and the transition to the LSA in Zimbabwe. It is debated whether Tshangula Industry should be separated from the Late Middle Stone Age. (Katsamudanga and Nhamo 2016)",Tshangulan Industry,,~35,has broader term (has narrower term),ka BP,,Primary name,,~20,y-35000~,CHRN-00000195,"Zimbabwe, Primary name",Middle Stone Age (Southern Africa),, Concise Oxford Dictionary of Archaeology,ka BP,,y-20000~,4bedbbb0-36dc-4774-bafe-68fb04b0ff37
Earthenware,"Part of the Late Holocene/ Final Later Stone Age of Southern Africa, ceramic assemblages, often thin-walled, either organic (grass, shell) or mineral-tempered, begin to appear in the excavated record at multiple sites in different regions and dating from around 2000 BP up to the recent past. These ceramic assemblages often co-occur within microlithic assemblages. Regional variants include Cape coastal Pottery (southern and Western Cape, South Africa), Smithfield B (Seacow River Valley, South Africa), Doornfontein (Northern Cape, South Africa), Bambata A (Zimbabwe and Botswana), Gwanda Ware or Matopan Ceramic phase in Zimbabwe. Dates for the ceramic Later Stone Age in Southern Africa vary from c. 26 BCE up to around the 19th century as recorded by early travellers along the Western Cape coast of Southern Africa",Ceramic Final Later Stone Age (Southern Africa),,26,has broader term (has narrower term),CE,,Primary name,,1900,'-26,CHRN-00000197,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, South African and Lesotho Stone Age Sequence Updated (I),BCE,,1900,495cfcd7-ef61-4b88-a6e5-6f14119f56ec
Lithic technocomplex,"A technocomplex of the Holocene/Later Stone Age often referred to as the Post-classic Wilton and dating from roughly 4000 years ago BP. Assemblages are characterised as highly variable. Worked bone, ostrich eggshell, and ochre are commonly found in assemblages. Regional variants include Smithfield (Karoo, Free-State, South Africa), Kablejous (Northern Cape, South Africa) and Amazimba (Zimbabwe). (Lombard et al 2012)",Final Later Stone Age (Southern Africa),,4000,has broader term (has narrower term),CE,,Primary name,,1900,'-4000,CHRN-00000205,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, Centre Du Patrimone Mondial - État De Conservation (SOC 2006) Île De Gorée (Sénégal),BP,,1900,a00bf6a4-49c4-404c-8938-8f0cc7dba25b
Lithic technocomplex,A lithic technocomplex dating from around 40 kya to 18 kya and relates to a transition or overlap between the Middle Stone Age (MSA) and Later Stone Age (LSA) in southern Africa. Assemblages are characterised by unstandardised often microlithic stone tools that generally occur before 20 000 years ago BP. In Zimbabwe the transition from MSA to LSA has been referred to as the Tshangula Industry (associated with final Middle Stone Age. ,Early Later Stone Age (Southern Africa),,40,has broader term (has narrower term),ka BP,,Primary name,,18,y-40000,CHRN-00000210,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, Centre Du Patrimone Mondial - État De Conservation (SOC 2006) Île De Gorée (Sénégal),ka BP,,y-18000,3d2c92c8-92cd-4136-9542-4f3311376089
Lithic industry,An industry of the Later Stone Age dating between 18000 to 12000 years ago BP. Lithic assemblages are characterised as microlithic rich in unmodified bladelets and bladelets. Few formal tools are reported. The industry is present predominantly in eastern Zimbabwe and known from the site Duncombe Farm however it is understood to have closer affinities to the Nachikufu 1 industry in Zambia. Late Pleistocene Microlithic is documented as Robberg in South Africa.,Late Pleistocene - Early Holocene Microlithic (Southern Africa),,18000,has broader term (has narrower term),BP,,Primary name,,12000,y-18000,CHRN-00000211,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, Late Pleistocene Techno-traditions in Southern Africa: a Review of the Still Bay and Howiesons Poort C. 75–59 Ka,BP,,y-12000,c78db498-f8b0-481b-a242-0cd747c57d02
Lithic industry,"The Maleme Industry refers to mircolithic assemblages recovered from sites in the Matobo region of Zimbabwe. It is one of the first definite Later Stone Age industries to have been identified in the region. Dating between 13, 000 to 11, 000 years ago, this industry is characterised by microlithic scrapers, few prepared microlithic cores and triangular points and awls. The industry also contains evidence of bone cylinder beads and ornaments. (Bandama 2013)",Maleme Industry,,13000,has broader term (has narrower term),BP,,Primary name,,11000,y-13000,CHRN-00000212,"Zimbabwe, Primary name",Later Stone Age (Southern Africa),, The Archaeological Evidence for the Appearance of Pastoralism and Farming in Southern Africa,BP,,y-11000,44a0c42b-de9b-44cf-95cf-c7ebaa7d635d
Lithic technocomplex,"A technocomplex of the Holocene/Later Stone Age microlithic industry characterized by marked increase in formal tool frequencies and by a proliferation of small scrapers and backed microliths. Ostrich eggshell beads and ochre are common. Regional variants include Nswangti (Matobo, Zimbabwe), Wilton or pre-ceramic Wilton (general Southern Africa).",Microlithic Later Stone Age (Southern Africa),,7000,has broader term (has narrower term),BP,,Primary name,,2500,'-7000,CHRN-00000213,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, Late Pleistocene Techno-traditions in Southern Africa: a Review of the Still Bay and Howiesons Poort C. 75–59 Ka,BP,,'-2500,df9ed79e-2d4b-427b-b98b-d10a7e25cf39
Lithic industry,"An industry of that follows and partially overlaps the Southern African and Eastern African Later Stone Age and has three broad phases: Nachikufan 1 (c. 16,700 to 10,800 BP), Nachikufan 2 (c. 9700--5000 B.P), Nachikufan 3 (c. 3500--200 B.P.). All known Nachikufan sites are found in Zambia. They lie north of the Zambezi river, mostly west of the Luangwa river, and primarily east of the Kafue river.",Nachikufan (South Central Africa),,16700,has broader term (has narrower term),BP,,Primary name,,200,y-16700,CHRN-00000218,,Later Stone Age (Southern Africa),, A Short History of Early Herding in Southern Africa,BP,,200,7d1c5d37-3d7b-4c71-96eb-e6a0b60ca816
Lithic technocomplex,"A technocomplex of the Terminal Pleistocene/Early Holocene Later Stone Age industry characterised with a non-microlithic assemblage. Formal tools are few, except for large scrapers, though scrapers with adze-like lateral retouch are common after ca. 7500 BCE. The technocomplex dates between 12000 and 7000 years ago BP. Regional variants include Albany (southern and eastern Cape Fold Belt, South Africa), Kuruman (Northern Cape, South Africa), Lockshoek (Free State and Karoo, South Africa), and Pomongwan (Matobo, Zimbabwe).",Oakhurst Complex,,14000,has broader term (has narrower term),BP,,Primary name,,7000,y-14000,CHRN-00000222,"Southern Africa, Primary name",Later Stone Age (Southern Africa),, Bambata Pottery and Western Bantu: Re-interpreting the Early Iron Age in Southern Africa,BP,,'-7000,b5602ff5-9152-4267-81d1-0b6c3dc2763b
Lithic industry,"Regional variant of the Late Pleistocene Micolithic of southern Africa found predominantly in the Matobo Hills of western Zimbabwe but has also been identified in Malilangwe, south eastern Zimbabwe. The industry is characterised by large convex scrapers, bone matting needles and tortoise shell bowls.",Pomongwan,,11000,has broader term (has narrower term),BP,,Primary name,,9400,y-11000,CHRN-00000223,"Zimbabwe, Primary name",Later Stone Age (Southern Africa),, The Archaeological Evidence for the Appearance of Pastoralism and Farming in Southern Africa,BP,,'-9400,67fa7364-4dbe-4fba-b838-3d7d58951faa
